GEOID,NAME,Num_hh_w_own_children_6,Num_hh_no_vehicle_owner,Num_hh_no_vehicle_renter,Pct_fams_poverty,Num_women_birth,Num_hh_W_children_snap,Num_hh_w_related_children_6_married,Num_hh_w_related_children_6_father,Num_hh_w_related_children_6_mother
42003020300,"Census Tract 203, Allegheny County, Pennsylvania",8,0,5,0,0,4,84,100,0
42003040400,"Census Tract 404, Allegheny County, Pennsylvania",16,0,0,0,0,182,172,100,0
42003040500,"Census Tract 405, Allegheny County, Pennsylvania",0,0,0,0,0,29,363,0,0
42003040600,"Census Tract 406, Allegheny County, Pennsylvania",0,0,0,0,0,0,345,0,0
42003050100,"Census Tract 501, Allegheny County, Pennsylvania",0,0,124,0,211,34,403,49,47.6
42003050600,"Census Tract 506, Allegheny County, Pennsylvania",13,0,43,0,70,93,136,29.6,0
42003051000,"Census Tract 510, Allegheny County, Pennsylvania",0,0,11,0,76,18,408,10,100
42003060300,"Census Tract 603, Allegheny County, Pennsylvania",23,0,0,0,0,44,117,100,0
42003070300,"Census Tract 703, Allegheny County, Pennsylvania",19,0,0,0,0,34,329,27.9,0
42003070500,"Census Tract 705, Allegheny County, Pennsylvania",71,0,0,0,0,25,295,49,0
42003070600,"Census Tract 706, Allegheny County, Pennsylvania",0,0,0,0,0,38,247,0,0
42003080700,"Census Tract 807, Allegheny County, Pennsylvania",41,0,0,0,10,39,469,40.6,0
42003101100,"Census Tract 1011, Allegheny County, Pennsylvania",42,0,0,0,79,74,90,25,0
42003130200,"Census Tract 1302, Allegheny County, Pennsylvania",0,14,28,0,87,36,62,47.2,66.7
42003140500,"Census Tract 1405, Allegheny County, Pennsylvania",0,13,0,0,71,26,68,7.5,0
42003160800,"Census Tract 1608, Allegheny County, Pennsylvania",8,0,0,0,144,39,201,3.6,0
42003161000,"Census Tract 1610, Allegheny County, Pennsylvania",41,0,23,0,233,21,312,10.8,50
42003170200,"Census Tract 1702, Allegheny County, Pennsylvania",0,0,0,0,39,56,133,0,0
42003170600,"Census Tract 1706, Allegheny County, Pennsylvania",2,0,0,0,9,35,133,0,0
