OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,Side,Ref_ID,X,Y,User_fld,Addr_type,ARC_Street,ARC_City,ARC_State,ARC_ZIP,Name,Municipali,Address,Municipa_1,ZipCodes,x2,y2
1,DW_Addressing_,M,95.42,A,"1710 PACIFIC AVE, HARRISON, PA, 15065", ,3150892,1420542.435,475246.1105,0,StreetAddress,1710 Pacific Avenue,Natrona Heights, ,15065,Community Market,Natrona Heights,1710 Pacific Avenue,Natrona Heights,15065,607919.6686,4497479.653
2,DW_Addressing_,M,93.91,A,"1117 MILLTOWN RD, PENN HILLS, PA, 15147", ,3148048,1401019.429,431068.4609,0,StreetAddress,1117 Mill Town Road,Verona, ,15147,Community Market,Verona,1117 Mill Town Road,Verona,15147,602470.1872,4483807.354
3,DW_Addressing_,M,100,A,"1017 4TH AVE, CORAOPOLIS, PA, 15108", ,3083227,1297767.802,440835.2992,0,StreetAddress,1017 4th Avenue,Coraopolis, ,15108,Coraopolis Cash Market,Coraopolis,1017 4th Avenue,Coraopolis,15108,570919.1902,4485623.412
4,DW_Addressing_,M,100,A,"5055 LIBRARY RD, BETHEL PARK, PA, 15102", ,2693039,1334758.101,374326.9016,0,StreetAddress,5055 Library Road,Bethel Park, ,15102,Giant Eagle,Bethel Park,5055 Library Road,Bethel Park,15102,582928.5482,4465785.81
5,DW_Addressing_,M,100,A,"254 YOST BLVD, BRADDOCK HILLS, PA, 15221", ,2805222,1382336,400839.101,0,StreetAddress,254 Yost Boulevard,Braddock Hills, ,15221,Giant Eagle,Braddock Hills,254 Yost Boulevard,Pittsburgh,15221,597119.6281,4474392.355
6,DW_Addressing_,M,100,A,"600 TOWNE SQUARE WAY, BRENTWOOD, PA, 15227", ,3161264,1346223.897,383925.2602,0,StreetAddress,600 Towne Square Way,Brentwood, ,15227,Giant Eagle,Brentwood,600 Towne Square Way,Pittsburgh,15227,586312.4656,4468837.091
7,DW_Addressing_,M,95.31,A,"132 BEN AVON HEIGHTS RD, OHIO, PA, 15237", ,2654758,1323833.9,441351.2998,0,StreetAddress,132 Ben Avon Heights Road,Camp Horne, ,15237,Giant Eagle,Camp Horne,132 Ben Avon Heights Road,Pittsburgh,15237,578850.6701,4486072.89
8,DW_Addressing_,M,96.97,A,"5260 GROVE RD, WHITEHALL, PA, 15236", ,2665562,1340889.999,381056.5018,0,StreetAddress,5260 Grove Road,Caste Village, ,15236,Giant Eagle,Caste Village,5260 Grove Road,Pittsburgh,15236,584720.3754,4467903.751
9,DW_Addressing_,M,94.82,A,"9901 MOUNTAIN VIEW DR, WEST MIFFLIN, PA, 15122", ,3029807,1355362.699,374227.1003,0,StreetAddress,9901 Mountain View Drive,Century III, ,15122,Giant Eagle,Century III,9901 Mountain View Drive,West Mifflin,15122,589204.0184,4465986.269
10, ,U,0,A, , ,-1,0,0, , ,Crafton-Ingram Shopping Center,Crafton, ,15205,Giant Eagle,Crafton,Crafton-Ingram Shopping Center,Pittsburgh,15205,,
11,DW_Addressing_,M,96.38,A,"6320 SHAKESPEARE ST, PITTSBURGH, PA, 15206", ,2827562,1364508.598,417369.5979,0,StreetAddress,6320 Shakespeare Street,East Liberty, ,15206,Giant Eagle,East Liberty,6320 Shakespeare Street,Pittsburgh,15206,591505.5387,4479226.328
12,DW_Addressing_,M,100,A,"1705 S BRADDOCK AVE, EDGEWOOD, PA, 15218",L,80632,1373035.35,405180.5204,0,Address,1705 S. Braddock Avenue,Edgewood, ,15218,Giant Eagle,Edgewood,1705 S. Braddock Avenue,Pittsburgh,15218,594238.7367,4475610.142
13,DW_Addressing_,M,98.91,A,"800 MCKEESPORT RD, ELIZABETH TOWNSHIP, PA, 15037", ,3168164,1375475.548,351967.3794,0,StreetAddress,800 Mckeesport Road,Elizabeth, ,15037,Giant Eagle,Elizabeth,800 Mckeesport Road,Elizabeth,15037,595578.0414,4459433.111
14,DW_Addressing_,M,94.21,A,"910 FREEPORT RD, PITTSBURGH, PA, 15238", ,2845101,1372311.6,428575.4981,0,StreetAddress,910 Freeport Road,Fox Chapel, ,15238,Giant Eagle,Fox Chapel,910 Freeport Road,Pittsburgh,15238,593756.0221,4482726.214
15,DW_Addressing_,M,94.21,A,"9001 FRANKSTOWN RD, PENN HILLS, PA, 15235", ,3099409,1379982,418450.8982,0,StreetAddress,9001 Frankstown Road,Frankstown, ,15235,Giant Eagle,Frankstown,9001 Frankstown Road,Pittsburgh,15235,596205.339,4479729.104
16,DW_Addressing_,M,93.7,A,"4250 MURRAY AVE, PITTSBURGH, PA, 15217", ,3138681,1361769.932,404166.5199,0,StreetAddress,4250 Murray Avenue,Greenfield, ,15217,Giant Eagle,Greenfield,4250 Murray Avenue,Pittsburgh,15217,590819.5941,4475175.077
17, ,U,0,A, , ,-1,0,0, , ,Parkway Center Mall,Greentree, ,15220,Giant Eagle,Greentree,Parkway Center Mall,Pittsburgh,15220,,
18,DW_Addressing_,M,100,A,"420 E WATERFRONT DR, HOMESTEAD, PA, 15120", ,2835432,1367495.9,399928.6016,0,StreetAddress,420 East Waterfront Drive,Homestead, ,15120,Giant Eagle,Homestead,420 East Waterfront Drive,Homestead,15120,592610.7491,4473948.746
19,DW_Addressing_,M,98.91,A,"1800 MCKEES ROCKS RD, KENNEDY, PA, 15136", ,2701552,1315390.702,421949.7987,0,StreetAddress,1800 Mckees Rocks Road,Kennedy Twp., ,15136,Giant Eagle,Kennedy Twp.,1800 Mckees Rocks Road,Mckees Rocks,15136,576497.2327,4480070.309
20, ,U,0,A, , ,-1,0,0, , ,Quaker Village Shopping Center,Leetsdale, ,15056,Giant Eagle,Leetsdale,Quaker Village Shopping Center,Leetsdale,15056,,
21,DW_Addressing_,M,98.17,A,"3812 ONEIL BLVD, MCKEESPORT, PA, 15132", ,3168084,1388461.613,376201.3425,0,StreetAddress,3812 O'Neil Boulevard,Mckeesport, ,15132,Giant Eagle,Mckeesport,3812 O'Neil Boulevard,Mckeesport,15132,599261.1085,4466958.291
22,DW_Addressing_,M,100,A,"4680 OLD WILLIAM PENN HWY, MONROEVILLE, PA, 15146", ,3119721,1413705.198,409164.8013,0,StreetAddress,4680 Old William Penn Hwy.,Monroeville, ,15146,Giant Eagle,Monroeville,4680 Old William Penn Hwy.,Monroeville,15146,606578.9575,4477279.388
23,DW_Addressing_,M,98.1,A,"4010 MONROEVILLE BLVD, MONROEVILLE, PA, 15146", ,2952691,1405484.299,406712.501,0,StreetAddress,4010 Monroeville Boulevard,Monroeville Blvd., ,15146,Giant Eagle,Monroeville Blvd.,4010 Monroeville Boulevard,Monroeville,15146,604102.9704,4476440.432
24,DW_Addressing_,M,98.91,A,"5990 UNIVERSITY BLVD, MOON, PA, 15108", ,3168226,1281753.608,442541.9249,0,StreetAddress,5990 University Boulevard,Moon Twp., ,15108,Giant Eagle,Moon Twp.,5990 University Boulevard,Moon Twp,15108,566023.6968,4485963.479
25,DW_Addressing_,M,96.08,A,"8050 MCKNIGHT RD, ROSS, PA, 15237",L,16296,1337809.706,451978.1554,0,Address,8050 McKnight Road,North Hills, ,15237,Giant Eagle,North Hills,8050 McKnight Road,Pittsburgh,15237,582987.2182,4489465.633
26,DW_Addressing_,M,96.6,A,"318 CEDAR AVE, PITTSBURGH, PA, 15212",R,38534,1342130.475,415219.2583,0,Address,318-320 Cedar Avenue,North Shore, ,15212,Giant Eagle,North Shore,318-320 Cedar Avenue,Pittsburgh,15212,584715.2008,4478320.611
27,DW_Addressing_,T,100,A,"1701 LINCOLN HWY, NORTH VERSAILLES, PA, 15137", ,3174633,1401328.891,384935.2791,0,StreetAddress,1701 Lincoln Highway,North Versailles, ,15137,Giant Eagle,North Versailles,1701 Lincoln Highway,North Versailles,15137,603081.6294,4469762.149
28,DW_Addressing_,M,94.29,A,"4110 BRIGHTON RD, PITTSBURGH, PA, 15212", ,2752932,1330662.401,429374.1978,0,StreetAddress,4110 Brighton Road,Northside, ,15212,Giant Eagle,Northside,4110 Brighton Road,Pittsburgh,15212,581064.3327,4482502.345
29,DW_Addressing_,M,100,A,"230 RODI RD, PENN HILLS, PA, 15235", ,2663456,1391113.8,417850.4997,0,StreetAddress,230 Rodi Road,Penn Hills, ,15235,Giant Eagle,Penn Hills,230 Rodi Road,Pittsburgh,15235,599601.934,4479671.093
30,DW_Addressing_,T,95.19,A,"9805 MCKNIGHT RD, MCCANDLESS, PA, 15237", ,2770095,1333461.001,464342.1992,0,StreetAddress,9805 McKnight Road,Pine Creek, ,15237,Giant Eagle,Pine Creek,9805 McKnight Road,Pittsburgh,15237,581524.2761,4493181.806
31,DW_Addressing_,M,98.91,A,"155 TOWNE CENTRE DR, PINE, PA, 15090", ,3158672,1328966.23,481420.6012,0,StreetAddress,155 Towne Centre Drive,Pine Township, ,15090,Giant Eagle,Pine Township,155 Towne Centre Drive,Wexford,15090,579963.9257,4498331.868
32,DW_Addressing_,M,98.91,A,"100 SETTLERS RIDGE CENTER DR, ROBINSON, PA, 15205", ,3152683,1300194.612,412828.0729,0,StreetAddress,100 Settlers Ridge Center Dr.,Robinson Twp., ,15205,Giant Eagle,Robinson Twp.,100 Settlers Ridge Center Dr.,Pittsburgh,15205,571972.2123,4477122.319
33,DW_Addressing_,M,94.92,A,"5550 CENTRE AVE, PITTSBURGH, PA, 15232", ,2760795,1360703.898,416711.2979,0,StreetAddress,5550 Centre Avenue,Shadyside, ,15232,Giant Eagle,Shadyside,5550 Centre Avenue,Pittsburgh,15232,590354.3289,4478983.205
34,DW_Addressing_,M,100,A,"1671 BUTLER PLANK RD, SHALER, PA, 15116", ,3155863,1352944.765,446400.4133,0,StreetAddress,1671 Butler Plank Road,Shaler, ,15116,Giant Eagle,Shaler,1671 Butler Plank Road,Shaler,15116,587658.5892,4487936.939
35,DW_Addressing_,M,100,A,"3239 WASHINGTON PIKE, SOUTH FAYETTE, PA, 15017", ,3168245,1308412.319,375952.7545,0,StreetAddress,3239 Washington Pike,South Fayette, ,15017,Giant Eagle,South Fayette,3239 Washington Pike,Bridgeville,15017,574887.836,4465985.708
36,DW_Addressing_,M,95.19,A,"2021 WHARTON ST, PITTSBURGH, PA, 15203", ,2929702,1348718.7,407727.8018,0,StreetAddress,2021 Wharton Street,South Side, ,15203,Giant Eagle,South Side,2021 Wharton Street,Mckees Rocks,15203,586805.3843,4476113.232
