GEOID,tract,municipality,pgh_neighborhood
42003040400,404,Pittsburgh,North Oakland
42003060300,603,Pittsburgh,Lower Lawrenceville
42003070300,703,Pittsburgh,Shadyside
42003080200,802,Pittsburgh,Bloomfield
42003080400,804,Pittsburgh,Bloomfield
42003080600,806,Pittsburgh,Bloomfield
42003080700,807,Pittsburgh,Friendship
42003090100,901,Pittsburgh,Central Lawrenceville
42003090200,902,Pittsburgh,Central Lawrenceville
42003140100,1401,Pittsburgh,Squirrel Hill North
42003140500,1405,Pittsburgh,Point Breeze North
42003151600,1516,Pittsburgh,Greenfield
42003190300,1903,Pittsburgh,Mount Washington
42003191500,1915,Pittsburgh,Mount Washington
42003270100,2701,Pittsburgh,Brighton Heights
42003409002,4090.02,Pine Township,N/A
42003412004,4120.04,Franklin Park Borough,N/A
42003413400,4134,McCandless Township,N/A
42003423000,4230,Aspinwall Borough,N/A
42003426700,4267,Shaler Township,N/A
42003426800,4268,Shaler Township,N/A
42003430200,4302,West View Borough,N/A
42003431500,4315,Bellevue Borough,N/A
42003451105,4511.05,Moon Township,N/A
42003453004,4530.04,North Fayette Township,N/A
42003456004,4560.04,South Fayette Township,N/A
42003465800,4658,Crafton Borough,N/A
42003470501,4705.01,Scott Township,N/A
42003470600,4706,Scott Township,N/A
42003471000,4710,Heidelberg Borough,N/A
42003472100,4721,Dormont Borough,N/A
42003473500,4735,Mount Lebanon,N/A
42003474202,4742.02,Upper St. Clair Municipality,N/A
42003484300,4843,Munhall Borough,N/A
42003496101,4961.01,Elizabeth Township,N/A
42003525200,5252,Oakmont Borough,N/A
42003526201,5262.01,Plum Borough,N/A
42003526302,5263.02,Plum Borough,N/A
42003560500,5605,Wilkinsburg Borough,N/A
42003563900,5639,Chalfant Borough-Forest Hills Borough,N/A
42003564000,5640,McDonald Borough-North Fayette Township,N/A
42003474201,4742.01,Upper St. Clair Municipality,N/A
42003564200,5642,South Versailles Township-White Oak Borough ,N/A
42003422000,4220,Fox Chapel Borough,N/A
